Customer_ID,Age,Gender,Income_Level,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Social_Media_Influence,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent
37-611-6911,22,Female,Middle,Surabaya,Gardening & Outdoors,5173900,4,Mixed,5,5,None,TRUE,FALSE,Need-based
29-392-9296,49,Male,High,Bandung,Food & Beverages,3444410,11,In-Store,3,1,Medium,TRUE,FALSE,Wants-based
84-649-5117,24,Female,Middle,Papua,Office Supplies,6606410,2,Mixed,5,5,Low,TRUE,TRUE,Impulsive
48-980-6078,29,Female,Middle,Surabaya,Home Appliances,1570305,6,Mixed,3,1,High,TRUE,TRUE,Need-based
91-170-9072,33,Female,Middle,Bandung,Furniture,3281350,6,Mixed,3,4,Medium,FALSE,FALSE,Wants-based
82-561-4233,45,Male,Middle,Medan,Office Supplies,7563225,8,Mixed,3,3,High,FALSE,FALSE,Planned
90-144-9193,21,Female,Middle,Papua,Furniture,7539200,2,Online,2,5,High,TRUE,FALSE,Need-based
88-661-4689,39,Male,Middle,Papua,Books,3379930,6,Online,5,4,Low,FALSE,TRUE,Impulsive
37-065-3182,24,Female,High,Makassar,Office Supplies,3130380,8,In-Store,3,5,Low,FALSE,FALSE,Need-based
84-894-9222,25,Female,High,Medan,Sports & Outdoors,6491865,7,Online,2,5,None,TRUE,FALSE,Need-based
44-674-4037,33,Male,Middle,Makassar,Mobile Accessories,6040350,12,In-Store,1,4,Low,TRUE,FALSE,Planned
78-116-8349,38,Female,High,Medan,Sports & Outdoors,3703415,5,Online,4,3,Medium,TRUE,FALSE,Planned
19-933-8095,34,Male,Middle,Jakarta,Luxury Goods,948910,7,In-Store,5,2,Low,TRUE,TRUE,Need-based
19-933-8095,34,Male,Middle,Jakarta,Luxury Goods,948910,7,Mixed,5,5,Low,TRUE,TRUE,Wants-based
80-684-5072,32,Male,High,Bandung,Animal Feed,1237055,4,Online,4,4,High,FALSE,TRUE,Planned
23-302-7502,30,Female,High,Bandung,Health Care,906905,2,Online,3,4,None,TRUE,TRUE,Wants-based
90-069-8934,40,Male,High,Makassar,Hotels,1693995,3,Mixed,5,5,Medium,FALSE,TRUE,Planned
45-073-7243,37,Male,High,Papua,Furniture,5524975,6,Mixed,2,4,Low,FALSE,TRUE,Impulsive
89-883-2101,38,Female,Middle,Medan,Mobile Accessories,3673345,10,In-Store,2,4,High,TRUE,TRUE,Impulsive
00-477-9449,36,Male,Middle,Papua,Packages),7043045,10,In-Store,2,4,Medium,FALSE,FALSE,Wants-based
67-159-7366,29,Female,High,Surabaya,Electronics,7606625,10,Mixed,4,2,None,FALSE,FALSE,Wants-based
85-691-4293,21,Female,Middle,Medan,Software & Apps,7177585,7,Online,5,1,None,TRUE,FALSE,Impulsive
56-085-0464,36,Female,High,Papua,Baby Products,879470,5,In-Store,4,4,Medium,TRUE,TRUE,Impulsive
33-264-2822,38,Male,High,Surabaya,Toys & Games,5755460,7,Online,2,4,Medium,TRUE,TRUE,Wants-based
95-478-2650,37,Female,Middle,Jakarta,Software & Apps,7145500,7,In-Store,4,1,High,FALSE,FALSE,Impulsive
04-349-6759,33,Female,High,Medan,Food & Beverages,3927235,6,Mixed,2,4,None,TRUE,TRUE,Planned
21-755-8745,37,Male,High,Papua,Packages),2116215,3,Online,5,3,High,TRUE,TRUE,Planned
